filename,emr_dissim,mse_rgb,max_p99,mse_red,mse_hsv_V,mse_hsv_H
B22-84\00739_Aug7.png,0.019129455,15.758926,81.0,16.30458,0.00012789527,0.0060490295
B22-84\00739_Aug8.png,0.018685877,15.775975,81.0,16.128204,0.000119816155,0.006639269
B22-84\00959.png,0.0247311,16.387735,81.0,15.658493,0.0001348506,0.0006450273
B22-84\01006.png,0.021130323,14.578776,64.0,14.916107,0.000103117956,0.00029412398
B22-84\01013.png,0.024122715,14.8602705,81.0,15.137878,0.00011027674,0.0004184365
B22-84\01016.png,0.018229306,14.328801,49.0,15.007584,9.911136e-05,0.00022066283
B22-84\01214.png,0.016384602,13.8528185,49.0,14.042221,9.278821e-05,0.0002945997
B22-84\01522.png,0.037204802,18.925756,121.0,18.286774,0.00017313004,0.00087732775
B22-84\01534.png,0.026461303,18.268805,100.0,17.889236,0.00018024424,0.00096390716
B22-84\01978.png,0.03254348,17.054193,100.0,16.164215,0.0001445599,0.0015948276
B22-84\01978_Aug1.png,0.03294581,17.170004,100.0,16.31009,0.00014675774,0.0016000469
B22-84\01978_Aug2.png,0.032278538,17.024225,100.0,16.069992,0.00014570083,0.0018330544
B22-84\01978_Aug3.png,0.033768833,17.388739,100.0,16.559753,0.0001494568,0.0016164947
B22-84\01978_Aug4.png,0.032862663,17.056274,100.0,16.306091,0.00014926626,0.0017117051
B22-84\01978_Aug5.png,0.034064233,17.46404,100.0,16.524704,0.00015212395,0.0020848603
B22-84\01978_Aug6.png,0.032731116,17.05513,100.0,16.19777,0.00014518903,0.001600858
B22-84\01978_Aug7.png,0.034460843,17.647552,100.0,16.73236,0.00015490796,0.002090866
B22-84\01978_Aug8.png,0.033085525,16.99916,100.0,16.191406,0.00014691683,0.0005489874
B22-84\01982.png,0.03614551,18.00146,100.0,17.294174,0.0001602906,0.0020402765
B22-84\01982_Aug1.png,0.03566581,17.829794,100.0,17.098282,0.00015474205,0.00151469
B22-84\01982_Aug2.png,0.03544134,17.537497,100.0,16.725739,0.00015271647,0.0013146091
B22-84\01982_Aug3.png,0.035541713,17.857758,100.0,17.10698,0.00015557182,0.0015218684
B22-84\01982_Aug4.png,0.035490513,17.556488,100.0,16.983475,0.00015409134,0.0006473013
B22-84\01982_Aug5.png,0.03495747,17.756088,100.0,16.897903,0.00015577268,0.0015722774
B22-84\01982_Aug6.png,0.03604585,17.310486,100.0,16.642807,0.00014797633,0.00050516165
B22-84\01982_Aug7.png,0.034730613,17.717987,100.0,16.912415,0.00015479744,0.0015725149
B22-84\01982_Aug8.png,0.035663366,17.55483,100.0,17.030151,0.0001524236,0.0005130555
B22-84\02890.png,0.025035203,16.084162,81.0,16.21109,0.00013049155,0.0006089425
B22-84\02891.png,0.023150682,14.974299,81.0,14.86319,0.00011600714,0.00048863597
B22-84\03675.png,0.019615948,13.291896,49.0,13.251953,8.2911596e-05,0.00020909778
B22-84\03689.png,0.024412692,14.156148,64.0,14.02626,9.5249794e-05,0.0002742108
B22-86\00266.png,0.026529312,15.952352,100.0,14.671463,0.00013792347,0.0004790984
B22-87\00152.png,0.018997252,12.832001,49.0,12.217316,8.07039e-05,0.0023791268
B22-87\00372.png,0.025717556,14.375392,81.0,13.28392,0.000109966044,0.00032253543
B22-87\00624.png,0.04222083,21.287521,144.0,19.602982,0.0002014566,0.0012491383
B22-91\00087.png,0.03132111,17.250544,100.0,16.37532,0.00014636727,0.0005584938
B22-91\00165.png,0.023578703,15.100017,64.0,15.128006,0.00012104577,0.00034023332
B22-91\00275.png,0.035377324,18.977753,121.0,17.842468,0.00017864973,0.0006205992
B22-91\00360.png,0.02157259,15.234848,81.0,15.012695,0.00012006817,0.0003951598
B22-92\00235.png,0.018183708,13.761464,49.0,13.733643,9.5407726e-05,0.0002396889
B22-92\00305.png,0.017697334,13.805751,49.0,14.130341,9.019193e-05,0.00020948882
B22-92\00307.png,0.017297685,14.071599,49.0,14.790009,9.378739e-05,0.00020001185
B22-92\00341.png,0.017268598,14.118785,49.0,14.834488,9.175007e-05,0.00020479895
B22-92\00346.png,0.017340243,13.90623,49.0,14.395798,9.089662e-05,0.00019344466
B22-92\00395.png,0.01807642,13.450729,64.0,13.561249,8.689964e-05,0.00021906217
B22-92\00485.png,0.021402776,14.144562,64.0,14.058975,9.943872e-05,0.00025644473
B22-92\00517.png,0.029168904,15.851669,81.0,15.545654,0.00012742454,0.0004016718
B22-92\00558.png,0.029179871,15.44247,81.0,15.046738,0.00012190509,0.00036003618
B22-92\00586.png,0.020382166,13.19427,49.0,12.955902,8.4951964e-05,0.00023654164
B22-92\00619.png,0.016484022,12.71196,49.0,12.51857,7.889022e-05,0.0002055645
B22-92\00676.png,0.017191172,13.614446,49.0,13.636749,9.188852e-05,0.00022332778
B22-92\00678.png,0.017200947,13.737259,49.0,13.958588,9.081143e-05,0.0002060158
B22-93\00639.png,0.021363318,14.234645,64.0,14.00116,0.00010190101,0.0002995748
B22-93\00641.png,0.020056248,13.926869,64.0,13.621353,9.654535e-05,0.0002708835
B22-93\00675.png,0.020112514,14.150584,64.0,14.234619,0.00010032737,0.00025334884
B22-93\00677.png,0.01943475,14.094411,49.0,14.400543,9.589464e-05,0.0002411739
B22-93\00678.png,0.017424524,13.878601,49.0,14.036316,9.338847e-05,0.00023582927
B22-94\00068.png,0.016784012,13.262202,49.0,13.34053,8.470721e-05,0.00021683853
B22-94\00159.png,0.015756309,13.535924,36.0,14.01001,8.7192966e-05,0.000188545
B22-94\00164.png,0.016633332,12.529576,49.0,12.487152,7.2553215e-05,0.00017637544
